epoch,lr-Adam,step,train_edge_loss,train_loss,train_node_loss,val_edge_loss,val_loss,val_node_loss
,0.0001,0,,,,,,
0,,0,0.19131405651569366,2.5750389099121094,2.3837249279022217,,,
0,,1,0.11225202679634094,2.457383871078491,2.3451318740844727,,,
0,,2,0.08013095706701279,2.395188093185425,2.3150570392608643,,,
0,,2,,,,1.0000005659094313e-06,2.294654607772827,2.2946534156799316
,9.05463412215599e-05,3,,,,,,
1,,3,0.19186389446258545,2.491344928741455,2.299481153488159,,,
1,,4,0.12278635054826736,2.413254499435425,2.290468215942383,,,
1,,5,0.056299205869436264,2.337651491165161,2.2813522815704346,,,
1,,5,,,,1.0000005659094313e-06,2.278491497039795,2.2784905433654785
,6.57963412215599e-05,6,,,,,,
2,,6,0.08721140772104263,2.3684191703796387,2.281207799911499,,,
2,,7,0.1728675663471222,2.4520761966705322,2.2792086601257324,,,
2,,8,0.16544173657894135,2.44612455368042,2.2806828022003174,,,
2,,8,,,,1.0000005659094313e-06,2.279618978500366,2.2796177864074707
,3.52036587784401e-05,9,,,,,,
3,,9,0.17735761404037476,2.461052417755127,2.2836947441101074,,,
3,,10,0.0645885020494461,2.345905065536499,2.2813165187835693,,,
3,,11,0.20170743763446808,2.4874839782714844,2.2857766151428223,,,
3,,11,,,,1.0000005659094313e-06,2.2791130542755127,2.2791123390197754
,1.0453658778440105e-05,12,,,,,,
4,,12,0.13470222055912018,2.414841413497925,2.280139207839966,,,
4,,13,0.1331479698419571,2.411659002304077,2.2785110473632812,,,
4,,14,0.14989928901195526,2.4253087043762207,2.275409460067749,,,
4,,14,,,,1.0000005659094313e-06,2.2799103260040283,2.279909610748291
