epoch,lr-Adam,step,train_edge_loss,train_loss,train_node_loss,val_edge_loss,val_loss,val_node_loss
,0.0001,0,,,,,,
0,,0,0.19131405651569366,2.582228660583496,2.3909146785736084,,,
0,,1,0.11225202679634094,2.454455614089966,2.3422036170959473,,,
0,,2,0.08013095706701279,2.3846209049224854,2.304489850997925,,,
0,,2,,,,1.0000005659094313e-06,2.281846761703491,2.281845808029175
,9.05463412215599e-05,3,,,,,,
1,,3,0.19186389446258545,2.4727344512939453,2.2808706760406494,,,
1,,4,0.12278635054826736,2.390946388244629,2.268160104751587,,,
1,,5,0.056299205869436264,2.3214287757873535,2.265129566192627,,,
1,,5,,,,1.0000005659094313e-06,2.2666172981262207,2.2666165828704834
,6.57963412215599e-05,6,,,,,,
2,,6,0.08721140772104263,2.353719472885132,2.266508102416992,,,
2,,7,0.1728675663471222,2.443098306655884,2.270230770111084,,,
2,,8,0.16544173657894135,2.4319372177124023,2.2664954662323,,,
2,,8,,,,1.0000005659094313e-06,2.2710418701171875,2.271040916442871
,3.52036587784401e-05,9,,,,,,
3,,9,0.17735761404037476,2.449030876159668,2.2716732025146484,,,
3,,10,0.0645885020494461,2.333989381790161,2.2694008350372314,,,
3,,11,0.20170743763446808,2.4862239360809326,2.2845165729522705,,,
3,,11,,,,1.0000005659094313e-06,2.271528720855713,2.2715275287628174
,1.0453658778440105e-05,12,,,,,,
4,,12,0.13470222055912018,2.4071590900421143,2.2724568843841553,,,
4,,13,0.1331479698419571,2.403333902359009,2.270185947418213,,,
4,,14,0.14989928901195526,2.424687385559082,2.2747881412506104,,,
4,,14,,,,1.0000005659094313e-06,2.2729127407073975,2.272911787033081
