epoch,lr-Adam,step,train_edge_loss,train_loss,train_node_loss,val_edge_loss,val_loss,val_node_loss
,0.0001,0,,,,,,
0,,0,0.7205435633659363,3.176769256591797,2.456225633621216,,,
0,,1,0.6117914319038391,3.051485300064087,2.4396939277648926,,,
0,,2,0.4722111225128174,2.891012191772461,2.4188010692596436,,,
0,,3,0.3383127748966217,2.7500271797180176,2.4117143154144287,,,
0,,4,0.1912941187620163,2.5855743885040283,2.394280195236206,,,
0,,4,,,,1.0000003385357559e-06,2.3867275714874268,2.3867266178131104
,9.997557473810373e-05,5,,,,,,
1,,5,0.07460525631904602,2.452791690826416,2.3781864643096924,,,
1,,6,0.16413015127182007,2.5274384021759033,2.3633081912994385,,,
1,,7,0.1478775590658188,2.5074336528778076,2.359556198120117,,,
1,,8,0.1609547883272171,2.5141355991363525,2.3531808853149414,,,
1,,9,0.1464454084634781,2.4819939136505127,2.3355484008789062,,,
1,,9,,,,1.0000003385357559e-06,2.332583427429199,2.332582473754883
,9.990232305719946e-05,10,,,,,,
2,,10,0.20170743763446808,2.534487009048462,2.3327796459198,,,
2,,11,0.0652792826294899,2.398127794265747,2.33284854888916,,,
2,,12,0.23037463426589966,2.5447351932525635,2.3143606185913086,,,
2,,13,0.15404392778873444,2.4629952907562256,2.3089513778686523,,,
